title,authors,model name,year,model class,left-truncated,interval-censored,recurrent events,CR,MSM,deviations from PH assumption: TVE,deviations from PH assumption: TVF,parametrization,multiple losses,multi-task learning,NN architecture,active learning,semi-supervised,interpretability,multi-modal,simulation,high-dimensional,code available,code (if available),data specifics,PASS,comments
DeepHit: A Deep Learning Approach to Survival Analysis with Competing Risks,"Lee, C; Zame, WR; Yoon, J; van der Schaar, M",DeepHit,2018,discrete-time,no,no,no,yes,no,no,yes,PMF,yes,??? (multiple losses hence multiple tasks?),FFNN (Dynamic-DeepHit: RNN (GRU)),no,no,no,no,yes,no,yes,"https://github.com/chl8856/DeepHit; https://github.com/havakv/pycox; https://github.com/RaphaelS1/survivalmodels
","METABRIC, SEER, UNOS",PASS,"extension: Dynamic DeepHit
(log-likelihood of first hitting time loss + cause-specific ranking loss + auxiliary task prediction loss (Dynamic DeepHit only)) 
TVF via Dynamic DeepHit"
DeepOmix: A scalable and interpretable multi-omics deep learning framework and application in cancer survival analysis,"Zhao, LH; Dong, QY; Luo, CL; Wu, Y; Bu, DC; Qi, XN; Luo, YF; Zhao, Y",DeepOmix,2021,Cox-based,no,no,no,no,no,no,no,hazard rate,no,,FFNN,no,no,yes,no,no,yes,yes,https://github.com/CancerProfiling/DeepOmix,TCGA,PASS,
DeepPAMM: Deep Piecewise Exponential Additive Mixed Models for Complex Hazard Structures in Survival Analysis,"Kopper, P; Wiegrebe, S; Bischl, B; Bender, A; Rugamer, D",DeepPAMM,2022,PEM-based,yes,no,yes,yes,yes,yes,yes,hazard rate,no,,flexible,no,no,yes,yes,yes,no,yes,https://github.com/pkopper/deeppam,"BREAST, GBSG2, ICU, METABRIC, MGUS2, TUMOR",PASS,
DeepSurv: personalized treatment recommender system using a Cox proportional hazards deep neural network,"Katzman, Jared L and Shaham, Uri and Cloninger, Alexander and Bates, Jonathan and Jiang, Tingting and Kluger, Yuval",DeepSurv,2018,Cox-based,no,no,no,no,no,no,no,hazard rate,no,,FFNN,no,no,no,no,yes,no,yes,https://github.com/jaredleekatzman/DeepSurv; https://github.com/havakv/pycox; https://github.com/RaphaelS1/survivalmodels; https://autonlab.org/auton-survival; https://square.github.io/pysurvival,"METABRIC, RGBSG, SUPPORT, WHAS",PASS,
Estimation of Conditional Mixture Weibull Distribution with Right Censored Data Using Neural Network for Time-to-Event Analysis,"Bennis, Achraf and Mouysset, Sandrine and Serrurier, Mathieu",DeepWeiSurv,2017,parametric (Weibull-based),no,no,no,no,no,no,no,(mixture) Weibull Loss,no,yes,FFNN,no,no,no,no,no,no,no,,"METABRIC, SEER",PASS,"loss based on log-likelihood of mixture of Weibull distributions
one loss for events, one for censored observations, added together (not multiple distinct losses)"
Genome-wide association study-based deep learning for survival prediction,"Sun, Tao and Wei, Yue and Chen, Wei and Ding, Ying",DNNSurv_Sun2022,2020,Cox-based,no,no,no,no,no,no,no,hazard rate,no,,FFNN,no,no,yes (LIME),no,yes,yes,yes,https://github.com/yingding99/DNNSurv,AREDS,PASS,high dimensionality of AMD GWAS data
DNNSurv: Deep Neural Networks for Survival Analysis Using Pseudo Values,"Zhao, Lili and Feng, Dai",DNNSurv_Zha2019,2019,discrete-time,no,no,no,no,no,no,no,not explicitly stated,no,,FFNN,no,no,no,no,yes,no,yes,https://github.com/lilizhaoUM/DNNSurv; https://github.com/RaphaelS1/survivalmodels,"CHS, MESA",PASS,"discrete- or interval-based computation of pseudo cond. prob., then SSE loss for regression task w/ DL
Survival based on Pseudo values ist aber auch nochmal eine eigene semi-etablierte Methode im Survival Kontext
pseudeo values = difference between S(t) and S(t) estimated without i-th subject. Then this is considered outcome for standard regression analysis. This is done for each subject for multiple time-points (regular grid). Discrte time wird hier insofern verwendet, um die pseudeo values zu berechnen. Konkrete Parametrisierung des Pseudo-value models wird nicht wirkl. beschrieben."
DPWTE: A Deep Learning Approach to Survival Analysis Using a Parsimonious Mixture of Weibull Distributions,"Bennis, A; Mouysset, S; Serrurier, M",DPWTE,2021,parametric (Weibull-based),no,no,no,no,no,no,no,(mixture) Weibull Loss w/ regularization w.r.t. to number of mixtures,no,no,FFNN + SWM layers,no,no,no,no,no,no,no,,"METABRIC, SEER, SUPPORT",PASS,DeepWeiSurv loss (single loss) w/ additional regularization term wrt #mixtures
Deep Recurrent Survival Analysis,"Ren, Kan and Qin, Jiarui and Zheng, Lei and Yang, Zhengyu and Zhang, Weinan and Qiu, Lin and Yu, Yong",DRSA,2019,discrete-time,no,no,no,no,no,no,no,discrete hazard,yes,???,RNN (LSTM),no,no,no,no,no,no,yes  ,https://github.com/rk2900/drsa,"BIDDING, CLINIC, MUSIC",PASS,(combination of log-likelihood-based losses)
Deep Survival Machines: Fully Parametric Survival Regression and Representation Learning for Censored Data with Competing Risks,"Nagpal, Chirag and Li, Xinyu and Dubrawski, Artur",DSM,2021,likelihood-based loss: ELBO for uncensored and censored additively,no,no,no,yes,no,yes,yes,(mixture) parametric loss,yes,yes,hierarchical graphical model parameterized by neural networks (FFNN); RNN (RDSM),no,no,no,no,no,no,yes,https://autonlab.org/auton-survival,"METABRIC, SEER, SUPPORT",PASS,"loss = loss term for uncensored + alpha-weighted loss term for censored + prior loss (so multiple losses)
stating that framework is amenable to left-truncation and interval-censoring
TVE: ""enable learning with time-varying risks""; TVF: via extension RDSM model"
Extreme learning machine Cox model for high-dimensionalsurvival analysis,"Wang, Hong and Li, Gang",ELMCoxBAR,2019,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,FFNN (ELM),no,no,no,no,yes,no,yes,https://github.com/whcsu/ELMCoxBAR,"DrAsGiven, EMTAB386, GSE14764, GSE32062, GSE49997, LungBeer, METABRIC, NSBCD, TCGAmirna",PASS,
Group Lasso Regularized Deep Learning for Cancer Prognosis from Multi-Omics and Clinical Features,"Xie, GC; Dong, CL; Kong, YF; Zhong, JE; Li, MY; Wang, K",GDP,2019,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,FFNN,no,no,no,no,yes,yes,yes,https://github.com/WGLab/GDP,TCGA,PASS,
Image-Based Survival Prediction for Lung Cancer Patients Using CNNS,"Haarburger, Christoph and Weitz, Philippe and Rippel, Oliver and Merhof, Dorit",Haa2019,2019,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,CNN  ,no,no,no,yes,no,yes,no,,Lung1 (TCIA),PASS,"2 approaches: 1) direct hazard prediction; 2) only CNN-based feature extraction (working better); in this sheet, focus on approach 1) b/c approach 2) fails exclusion criteria
Cox-loss for Cox hazard prediction; for median survival classification: binary cross-entropy loss (classification based on whether t > T_{0.5})
radiomics"
Transformer-Based Deep Survival Analysis,"Hu, Shi and Fridgeirsson, Egill and Wingen, Guido van and Welling, Max",Hu2021,2021,discrete-time,no,no,no,no,no,no,no,discrete hazard,yes,???,transformer,no,no,no,no,no,no,no,,"METABRIC, SUPPORT",PASS,"(entropy-based loss + discordant-pair-penalization loss);  actually the complement of the discrete hazard, 1-h, is parametrized"
Deep Integrative Analysis for Survival Prediction,"Huang, Chenglong and Zhang, Albert and Xiao, Guanghua",Hua2018,2018,smoothed C-index loss,no,no,no,no,no,no,no,person-specific risk (NN output),no,no,CNN + correlational layer,no,no,no,yes,no,no,no,,TCGA,PASS,They use a smoothed version of C-index (Eq. (6)) as loss function. Der Output des NN (vektor O) wird direkt in den Loss eingesetzt als Größe die das Risiko einer Person repräsentiert.
IDNetwork: A deep Illness-Death Network based on multi-state event history process for versatile disease prognostication,"Cottin, Aziliz and Pecuchet, Nicolas and Zulian, Marine and Guilloux, Agathe and Katsahian, Sandrine",IDNetwork,2022,PEM-based,no,no,no,yes,yes,no,no,not explicitly stated,no,"??? only one loss, multiple output layers; refers to tasks as task-specific sub-networks",FFNN,no,no,no,no,yes,no,no,,"METABRIC, NCT00079274, NCT00275210",PASS,"Also sie nehmen auf jeden Fall PC hazards an und zitieren die PEM literatur. Machen dann am Ende aber doch ncht wirkl. hazard modellierung.
 Es gibt noch ein Statistics in Medicine Paper von denen. Das ist vermutlich notationell sauberer: https://onlinelibrary.wiley.com/doi/full/10.1002/sim.9310?casa_token=NLWvTpO-oUUAAAAA%3AoRPdzpRSgoBs9LLtNn5
Ok, da sagen sie explizit, ""Instead of considering the transition intensities, we will write the log-likelihood in terms of transition probabilities f ∗ ql (.|X ),"" also diese ""Pseudo-Dichten"" im CR case und das integral davon die CIF Die schreiben die Likelihood dann in Abh. von den pseudo-dichten und nutzen diese Likelihood als Loss; pseudo-density = h_e(t) * S(t)
Output sind dann die stückweise konstanten Pseudo-Dichten"
A Multi-constraint Deep Semi-supervised Learning Method for Ovarian Cancer Prognosis Prediction,"Chai, H; Guo, LY; He, MF; Zhang, ZY; Yang, YD",MCAP,2022,Cox-based,no,no,no,no,no,no,no,hazard rate,yes,yes,FFNN,no,semi-supervised,no,no,no,yes,no,,"GSE17260, GSE26193, GSE26712, GSE32062, GSE53963, GSE63885, TCGA-OV",PASS,
MultiSurv: Long-term cancer survival prediction using multimodal deep learning,"Vale-Silva, Luis Andre and Rohr, Karl",MultiSurv,2020,discrete-time,no,no,no,no,no,yes,no,discrete hazard,no,,CNN,no,no,no,yes,no,yes,yes,https://github.com/luisvalesilva/multisurv,TCGA,PASS,"an auxiliary loss was experimented with, but no multiple losses in final version"
Deep Neural Networks for Survival Analysis Based on a Multi-Task Framework,"Fotso, Stephane",N-MTLR,2018,discrete-time,no,no,no,no,no,no,no,parameters of logistic regression,not described,yes,FFNN,no,no,no,no,yes,no,yes,https://square.github.io/pysurvival,"WHAS, veteran",PASS,"discretization + classification (+ intelligentes kombinieren der prediktierten Wskten)
Loss kann dann im Endeffekt iwas sein, was für binary outcome geignet ist.
(logistic regression based)
no repo link in paper, but implemented in pySurvival Python package (not linked in paper)
check implementation for loss function"
Deep survival algorithm based on nuclear norm,"Tong, JY; Zhao, XJ",NN-DeepSurv,2022,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,FFNN,no,no,no,no,yes,no,no,,"METABRIC, MIMIC III, MLC, RGBSG, SUPPORT, WHAS",PASS,NN architecture is not explicitly stated; presumably FFNN since based on DeepSurv
A scalable discrete-time survival model for neural networks,"Gensheimer, MF; Narasimhan, B",Nnet-survival,2019,discrete-time,no,no,no,no,no,yes,no,discrete hazard,no,,flexible,no,no,no,yes,yes,no,yes,https://github.com/MGensheimer/nnet-survival,SUPPORT,PASS,"(negative log likelihood loss)
(only if employing the appropriate architecture, e.g. CNN)"
Continuous and Discrete-Time Survival Prediction with Neural Networks,"Kvamme, Håvard and Borgan, Ørnulf",PC-Hazard,2019,PEM-based,no,no,no,no,no,no,no,hazard rate,no,,FFNN,no,no,no,no,yes,no,yes,https://github.com/havakv/pycox; https://github.com/RaphaelS1/survivalmodels,"FLCHAIN, METABRIC, NWTCO, RGBSG, SUPPORT",PASS,
A meta-learning approach for genomic survival analysis,"Qiu, YPL; Zheng, H; Devos, A; Selby, H; Gevaert, O",Qiu2020,2020,Cox-based,no,no,no,no,no,no,no,hazard rate,no,yes (meta-learning),FFNN,no,no,yes (risk backpropagation SurvivalNet),no,no,yes,yes,https://github.com/gevaertlab/metalearning_survival,TCGA,PASS,Cox-nnet loss
A deep survival analysis method based on ranking,"Jing, BZ; Zhang, T; Wang, ZX; Jin, Y; Liu, KY; Qiu, WZ; Ke, LR; Sun, Y; He, CS; Hou, D; Tang, LQ; Lv, X; Li, CF",RankDeepSurv,2019,ranking-based,no,no,no,no,no,no,no,ustom Loss based on quadratic diff in observed time and ranking loss. ,yes,??? (no),FFNN ,no,no,no,no,no,no,yes,https://github.com/sysucc-ailab/RankDeepSurv,"METABRIC, RGBSG, SUPPORT, WHAS",PASS,"ranking- and regression-loss
Paper ist katastrophal geschrieben, viele Terme werden garnicht eingeführt. Was sie eigentl. schätzen/parametriesieren ist nicht klar. Ggf. nehmen Sie Eq (2) und modelieren den Hazard, aber in ihrem Loss kommt nur MSE + Rank loss for, dafür muss aber schon predictions für y_i und p_i gemacht werden, wobei nicht klar ist, was p_i sein soll und wie es geschätzt wird. Die Kombination von losses is iwo interessant, aber andererseits auch komisch."
Survival prediction model for right-censored data based on improved composite quantile regression neural network,"Qin, XW; Yin, DM; Dong, XG; Chen, DX; Zhang, S",rcICQRNN,2022,quantile regression-based,no,no,no,no,no,no,no,quantile regression coefficients,no,no,FFNN,no,no,no,no,yes,yes,no,,"METABRIC, NKI70, TCC",PASS,"they don't stress ""omics"" but use METABRIC (with genomic data, >500 features) as dataset"
RNN-SURV: A Deep Recurrent Model for Survival Analysis,"Giunchiglia, Eleonora and Nemchenko, Anton and van der Schaar, Mihaela",RNN-SURV,2018,discrete-time,no,no,no,no,no,yes,no,survival probability,yes,???,RNN (LSTM),no,no,no,no,no,no,no,,"AIDS2, FLCHAIN, NWTCO, UNOS Transplant, UNOS Waitlist",PASS,"discretization/intervalization w/ cross-entropy loss + upper bound of negative C-index loss;
the risk score is calculated directly from the survival probabilities, but is not separately estimated, so we can ignore the later part. Its like fitting hazards and then calculate survival prob from there."
SALMON: Survival Analysis Learning With Multi-Omics Neural Networks on Breast Cancer,"Huang, Z; Zhan, XH; Xiang, SN; Johnson, TS; Helm, B; Yu, CY; Zhang, J; Salama, P; Rizkalla, M; Han, Z; Huang, K",SALMON,2019,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,FFNN with eigengene matrices as inputs,no,no,yes (feature importance),no,no,yes,yes,https://github.com/huangzhii/SALMON/,BRCA (GDAC Firehose),PASS,
Survival Analysis For Computing Systems Using A Deep Ensemble Network,"Sansaengtham, B; Barroso, VC; Phunchongharn, P",San2020,2020,Cox-based,no,no,no,no,no,no,no,hazard rate,no,no,FFNN (Ensemble),no,no,no,no,no,no,no,,Google Cloud Cluster Dataset,PASS,
"Survival Prediction Based on Histopathology Imaging and Clinical Data: A Novel, Whole Slide CNN Approach","Agarwal, S; Abaker, MEO; Daescu, O",SSCNN,2021,ranking-based,no,no,no,no,no,no,no,"custom Loss function, built directly on the outputs of the siamese NN",yes,no,CNN + Siamese NN,no,no,no,yes,no,no,no,,TCGA,PASS,
Deep Semisupervised Multitask Learning Model and Its Interpretability for Survival Analysis,"Chi, SQ; Tian, Y; Wang, F; Wang, Y; Chen, M; Li, JS",SSMTL,2021,discrete-time,no,no,no,yes,no,yes,no,custom loss w/ 4 components,yes,yes,FFNN,no,yes but (considers censoring as unsupervised),yes (identifying the feature importance levels and plotting the effects of factors on the cumulative incidence,no,no,no,yes,https://github.com/LeyiChi/SSMTL,SEER,PASS,(logarithmic loss + semisupervised loss + ranking loss)
DeepBTS: Prediction of Recurrence-free Survival of Non-small Cell Lung Cancer Using a Time-binned Deep Neural Network,"Lee, B; Chun, SH; Hong, JH; Woo, IS; Kim, S; Jeong, JW; Kim, JJ; Lee, HW; Na, SJ; Beck, KS; Gil, B; Park, S; An, HJ; Ko, YH",su-DeepBTS,2020,discrete-time,no,no,no,no,no,no,no,discrete hazard,no,???,FFNN,no,semi-unsupervised,no,no,no,no,no,,"METABRIC, GBSG, NCCTG Lung Cancer Data",PASS,
SurvCNN: A Discrete Time-to-Event Cancer Survival Estimation Framework Using Image Representations of Omics Data,"Kalakoti, Y; Yadav, S; Sundar, D",SurvCNN,2021,discrete-time,no,no,no,no,no,no,no,discrete hazard,no,no,CNN,no,no,no,no,no,yes,yes,https://github.com/TeamSundar/SurvCNN,TCGA,PASS,"(negative log likelihood loss)
creating image representation of omics data, additionally to clinical data -> no multimodality"
SurvNet: A Novel Deep Neural Network for Lung Cancer Survival Analysis With Missing Values,"Wang, JY; Chen, N; Guo, JX; Xu, XY; Liu, LX; Yi, Z",SurvNet,2021,Cox-based,no,no,no,no,no,no,no,hazard rate,yes,yes,FFNN + context gating module,no,no,no,no,no,no,no,,SEER,PASS,(Cox loss + survival classification loss + MSE-based incomplete-aware loss --> multitask learning!)
A General Framework for Survival Analysis and Multi-State Modelling,"Groha, Stefan and Schmon, Sebastian M and Gusev, Alexander",survNode,2021,ODE-based,yes,yes,no,yes,yes,no,yes,hazard rate,no   ,,neural ODEs,no,no,yes (variational survNode),yes,yes,no,yes,https://github.com/stefangroha/SurvNODE,"METABRIC, ESBMT Data",PASS,"(only if employing the appropriate architecture, thru encoding of initial values)"
SurvTRACE: Transformers for Survival Analysis with Competing Events,"Wang, Zifeng and Sun, Jimeng",SurvTRACE,2021,discrete-time,no,no,no,no,no,no,no,discrete hazard,yes,yes,transformer,no,no,yes (thru interpretation of attention maps),no,no,no,yes,https://github.com/RyanWangZf/SurvTRACE,"METABRIC, SUPPORT",PASS,"(PC-Hazard-style loss + entropy-based loss + MSE-based loss)
primarily the discrete hazard is parametrized, but there is more (auxiliary classification + regression tasks)"
Discrete-time survival analysis in the critically ill: a deep learning approach using heterogeneous data,"Thorsen-Meyer, HC; Placido, D; Kaas-Hansen, BS; Nielsen, AP; Lange, T; Nielsen, AB; Toft, P; Schierbeck, J; Strom, T; Chmura, PJ; Heimann, M; Belling, K; Perner, A; Brunak, S",Tho2022,2022,discrete-time,no,no,no,no,no,no,no,???,no,no,RNN (LSTM),no,no,yes (SHAP),yes,no,no,yes,https://github.com/daplaci/ICUsurvive,Danish Electronic Patient Records (Registered Access),PASS,"negative log likelihood loss;
Due to national and EU regulations the data accessed in this paper cannot readily be
shared to the wider research community. However, data can be made available for
use in secure, dedicated environments via application to the Danish Patient Safety
Authority (https://stps.dk/da/ansvar-og-retningslinjer/patientjournaloplysninger-tilforskning)
and the Danish Health Data Authority (https://sundhedsdatastyrelsen.dk/
da/english/health_data_and_registers/research_services)."
Deep learning for the dynamic prediction of multivariate longitudinal and survival data,"Lin, J; Luo, S",TransformerJM,2022,discrete-time,no,no,no,no,no,no,yes,PMF,yes,yes,transformer,no,no,no,no,yes,no,no,,"ADNI, NACC",PASS,"seems like discrete time, but not explicitly stated; plus NLL loss (censoring adjusted log-loss for the survival loss);
parametrization not clearly defined, from Figure 5 looks like they predict the (conditional) PMF directly. Similar to deephit."
Improved survival analysis by learning shared genomic information from pan-cancer data,"Kim, S; Kim, K; Choe, J; Lee, I; Kang, J",VAECox,2020,Cox-based,no,no,no,no,no,no,no,hazard rate,yes,???,VAE (+ transfer learning),no,no,no,no,no,yes,yes,https://github.com/SunkyuKim/VAECox,TCGA,PASS,multiple losses b/c RMSE + KLD loss for VAE part (pretraining/encoding) and Cox loss for survival part (fine-tuning)
A Wide and Deep Neural Network for Survival Analysis from Anatomical Shape and Tabular Clinical Data,"Pölsterl, Sebastian and Sarasua, Ignacio and Gutiérrez-Becker, Benjamín and Wachinger, Christian",WideAndDeep,2020,Cox-based,no,no,no,no,no,no,no,hazard rate,no,,PointNet,no,no,yes (linear part),yes,no,no,no,,ADNI,PASS,
Mixture cure rate models with neural network estimated nonparametric components,"Xie, YJ; Yu, ZS",Xie2021,2021,Cox-based,no,no,no,no,no,no,no,no,no,no,CNN,no,no,yes,yes,yes,no,no,,OASIS-3,PASS,"cure rate model where a NN is ""mereley"" used to estimate the cure probability; survival prediction itself (given non-cured) is performed by a standard Cox PH model; model optimization via EM"
